Team 1,Team 2,Wins1,Wins2,Team1Win %,Team2Win %,Games
Cotter,Dunstone,0,1,0,1,1
Cotter,Epping,0,1,0,1,1
Cotter,Gushue,1,2,0.333333333,0.666666667,3
Cotter,Howard,1,2,0.333333333,0.666666667,3
Cotter,Jacobs,1,2,0.333333333,0.666666667,3
Cotter,Koe,1,6,0.142857143,0.857142857,7
Cotter,Laycock,0,2,0,1,2
Cotter,Martin,0,1,0,1,1
Cotter,McEwen,0,2,0,1,2
Cotter,Stoughton,0,1,0,1,1
Craik,Dropkin,2,0,1,0,2
Craik,Dunstone,0,2,0,1,2
Craik,Edin,0,3,0,1,3
Craik,Epping,1,0,1,0,1
Craik,Gauthier,1,0,1,0,1
Craik,Jacobs,0,1,0,1,1
Craik,Jones,0,1,0,1,1
Craik,Koe,3,0,1,0,3
Craik,McEwen,0,2,0,1,2
Craik,Mouat,0,5,0,1,5
Craik,Retornaz,3,1,0.75,0.25,4
Craik,Schwaller,1,2,0.333333333,0.666666667,3
Craik,Shuster,1,0,1,0,1
Craik,Smith,1,0,1,0,1
Craik,Sturmay,1,0,1,0,1
Craik,Totzek,2,0,1,0,2
Craik,Whyte,0,3,0,1,3
Czech Republic,Finland,5,1,0.833333333,0.166666667,6
Czech Republic,Gushue,0,1,0,1,1
Czech Republic,Homan,0,1,0,1,1
Dropkin,Dunstone,1,2,0.333333333,0.666666667,3
Dropkin,Edin,1,6,0.142857143,0.857142857,7
Dropkin,Epping,1,1,0.5,0.5,2
Dropkin,Gushue,1,4,0.2,0.8,5
Dropkin,Jacobs,0,2,0,1,2
Dropkin,Kim,0,1,0,1,1
Dropkin,Koe,2,1,0.666666667,0.333333333,3
Dropkin,McEwen,1,2,0.333333333,0.666666667,3
Dropkin,Mouat,3,6,0.333333333,0.666666667,9
Dropkin,Retornaz,1,3,0.25,0.75,4
Dropkin,Schwaller,4,3,0.571428571,0.428571429,7
Dropkin,Shuster,1,2,0.333333333,0.666666667,3
Dropkin,Sluchinski,1,1,0.5,0.5,2
Dropkin,Whyte,1,1,0.5,0.5,2
Dunstone,Edin,1,2,0.333333333,0.666666667,3
Dunstone,Epping,4,5,0.444444444,0.555555556,9
Dunstone,Gushue,6,12,0.333333333,0.666666667,18
Dunstone,Howard,4,2,0.666666667,0.333333333,6
Dunstone,Jacobs,4,8,0.333333333,0.666666667,12
Dunstone,Kleiter,2,0,1,0,2
Dunstone,Koe,10,8,0.555555556,0.444444444,18
Dunstone,McEwen,6,6,0.5,0.5,12
Dunstone,Mouat,4,8,0.333333333,0.666666667,12
Dunstone,Retornaz,6,3,0.666666667,0.333333333,9
Dunstone,Schwaller,6,5,0.545454545,0.454545455,11
Dunstone,Shuster,1,1,0.5,0.5,2
Dunstone,Sluchinski,1,1,0.5,0.5,2
Dunstone,Smith,3,0,1,0,3
Dunstone,Sturmay,1,0,1,0,1
